FirstName,Phone,Notes
Alice,9876543210,Call in morning
Bob,8765432109,Follow up email
Charlie,7654321098,Send documents
David,6543210987,Schedule meeting
Eva,5432109876,Confirm address
Frank,4321098765,Check payment
Grace,3210987654,Pending approval
Hannah,2109876543,Urgent response
Ian,1098765432,Send invoice
Jane,9988776655,Follow up
Kevin,8877665544,Request feedback
Laura,7766554433,Prepare report
Mike,6655443322,Schedule call
Nina,5544332211,Update info
Oscar,4433221100,Confirm attendance
Paula,3322110099,Send reminder
Quinn,2211009988,Call later
Rachel,1100998877,Document review
Steve,9998887776,Check status
Tina,8887776665,Send proposal
Uma,7776665554,Confirm details
Victor,6665554443,Follow up call
Wendy,5554443332,Schedule demo
Xander,4443332221,Urgent request
Yara,3332221110,Finalize report
